state,participation_act,composite_act,year,participation_sat,ebrw_sat,math_sat,total_sat,composite_act_normalized,total_sat_normalized,avg_score
Oklahoma,1.0,19.3,2018,0.08,541,521,1062,0.5361111111111111,0.66375,0.5999305555555555
Oregon,0.42,21.3,2018,0.48,564,553,1117,0.5916666666666667,0.698125,0.6448958333333333
Pennsylvania,0.2,23.5,2018,0.7,547,539,1086,0.6527777777777778,0.67875,0.6657638888888888
Rhode Island,0.15,24.2,2018,0.97,513,505,1018,0.6722222222222222,0.63625,0.654236111111111
South Carolina,1.0,18.3,2018,0.55,547,523,1070,0.5083333333333333,0.66875,0.5885416666666666
South Dakota,0.77,21.9,2018,0.03,622,618,1240,0.6083333333333333,0.775,0.6916666666666667
Tennessee,1.0,19.6,2018,0.06,624,607,1231,0.5444444444444445,0.769375,0.6569097222222222
Texas,0.45,20.7,2018,0.66,520,512,1032,0.575,0.645,0.61
Utah,1.0,20.4,2018,0.04,480,530,1010,0.5666666666666667,0.63125,0.5989583333333333
Vermont,0.24,24.1,2018,0.64,565,554,1120,0.6694444444444445,0.7,0.6847222222222222
Virginia,0.24,23.9,2018,0.68,567,550,1117,0.6638888888888889,0.698125,0.6810069444444444
Washington,0.24,22.2,2018,0.69,543,538,1081,0.6166666666666667,0.675625,0.6461458333333334
West Virginia,0.65,20.3,2018,0.28,513,486,999,0.5638888888888889,0.624375,0.5941319444444444
Wisconsin,1.0,20.5,2018,0.03,641,653,1294,0.5694444444444444,0.80875,0.6890972222222222
Wyoming,1.0,20.0,2018,0.03,633,625,1257,0.5555555555555556,0.785625,0.6705902777777778
Alabama,1.0,18.9,2019,0.07,583,560,1143,0.5249999999999999,0.714375,0.6196875
Alaska,0.38,20.1,2019,0.41,556,541,1097,0.5583333333333333,0.685625,0.6219791666666667
Arizona,0.73,19.0,2019,0.31,569,565,1134,0.5277777777777778,0.70875,0.618263888888889
Arkansas,1.0,19.3,2019,0.06,582,559,1141,0.5361111111111111,0.713125,0.6246180555555556
California,0.23,22.6,2019,0.63,534,531,1065,0.6277777777777778,0.665625,0.6467013888888888
Colorado,0.27,23.8,2019,1.0,518,506,1024,0.6611111111111111,0.64,0.6505555555555556
Connecticut,0.22,25.5,2019,1.0,529,516,1046,0.7083333333333334,0.65375,0.6810416666666668
Delaware,0.13,24.1,2019,1.0,499,486,985,0.6694444444444445,0.615625,0.6425347222222222
District of Columbia,0.32,23.5,2019,0.94,495,480,975,0.6527777777777778,0.609375,0.6310763888888888
Florida,0.54,20.1,2019,1.0,516,483,999,0.5583333333333333,0.624375,0.5913541666666666
Georgia,0.49,21.4,2019,0.71,538,519,1058,0.5944444444444444,0.66125,0.6278472222222222
Hawaii,0.8,19.0,2019,0.54,550,550,1100,0.5277777777777778,0.6875,0.6076388888888888
Idaho,0.31,22.5,2019,1.0,505,488,993,0.625,0.620625,0.6228125
Illinois,0.35,24.3,2019,1.0,509,504,1013,0.675,0.633125,0.6540625
Indiana,0.29,22.5,2019,0.66,543,537,1080,0.625,0.675,0.65
Iowa,0.66,21.6,2019,0.03,622,622,1244,0.6000000000000001,0.7775,0.68875
Kansas,0.72,21.2,2019,0.04,618,623,1241,0.5888888888888889,0.775625,0.6822569444444444
Kentucky,1.0,19.8,2019,0.04,620,612,1232,0.55,0.77,0.66
Louisiana,1.0,18.8,2019,0.05,610,591,1200,0.5222222222222223,0.75,0.6361111111111111
Maine,0.06,24.3,2019,0.99,512,502,1013,0.675,0.633125,0.6540625
Maryland,0.28,22.3,2019,0.82,535,523,1058,0.6194444444444445,0.66125,0.6403472222222222
Massachusetts,0.21,25.5,2019,0.81,559,561,1120,0.7083333333333334,0.7,0.7041666666666666
Michigan,0.19,24.4,2019,1.0,507,496,1003,0.6777777777777777,0.626875,0.6523263888888888
Minnesota,0.95,21.4,2019,0.04,636,648,1284,0.5944444444444444,0.8025,0.6984722222222222
Mississippi,1.0,18.4,2019,0.03,628,608,1237,0.5111111111111111,0.773125,0.6421180555555555
Missouri,0.82,20.8,2019,0.04,622,615,1236,0.5777777777777778,0.7725,0.675138888888889
Montana,1.0,19.8,2019,0.09,603,596,1199,0.55,0.749375,0.6496875
Nebraska,1.0,20.0,2019,0.03,628,631,1260,0.5555555555555556,0.7875,0.6715277777777777
